Bus Stop Start,Bus Stop End,Estimated Fare,Estimated Time
Nehru Place,Karol Bagh,72.77,146
Karol Bagh,Delhi University,50.82,116
Hauz Khas,India Gate,74.99,55
Delhi University,Rajiv Chowk,87.97,158
Rajiv Chowk,Chandni Chowk,97.8,172
Gurgaon,Rajiv Chowk,87.02,14
India Gate,Rajiv Chowk,11.05,58
Red Fort,Gurgaon,42.4,34
Karol Bagh,Nehru Place,75.7,113
Nehru Place,India Gate,25.45,53
India Gate,Gurgaon,56.89,26
Connaught Place,Rajiv Chowk,14.89,67
Red Fort,Nehru Place,28.0,15
Chandni Chowk,Red Fort,11.67,133
Rajiv Chowk,Hauz Khas,81.43,18
Delhi University,Nehru Place,30.15,43
Red Fort,Hauz Khas,41.08,64
India Gate,Nehru Place,93.53,74
Chandni Chowk,Rajiv Chowk,73.4,170
Hauz Khas,Karol Bagh,12.87,12
Rajiv Chowk,Gurgaon,24.82,165
Chandni Chowk,India Gate,65.93,97
Rajiv Chowk,Connaught Place,61.95,76
Rajiv Chowk,Nehru Place,31.41,55
Gurgaon,Connaught Place,94.08,158
India Gate,Delhi University,65.26,145
Chandni Chowk,Gurgaon,58.21,34
Rajiv Chowk,Karol Bagh,63.09,109
Karol Bagh,India Gate,75.71,72
Red Fort,India Gate,38.08,104
Hauz Khas,Chandni Chowk,45.84,172
Hauz Khas,Nehru Place,28.89,159
Rajiv Chowk,Red Fort,26.76,97
Chandni Chowk,Hauz Khas,94.99,155
Chandni Chowk,Connaught Place,76.56,79
India Gate,Hauz Khas,54.14,137
Connaught Place,Nehru Place,30.47,13
Connaught Place,Gurgaon,32.89,99
Delhi University,Hauz Khas,15.22,159
Delhi University,Red Fort,49.1,144
India Gate,Chandni Chowk,38.06,32
Gurgaon,India Gate,72.67,33
Nehru Place,Hauz Khas,44.0,95
India Gate,Connaught Place,26.16,86
Karol Bagh,Rajiv Chowk,12.22,160
Karol Bagh,Connaught Place,16.05,70
Connaught Place,Karol Bagh,71.15,148
Karol Bagh,Gurgaon,50.83,51
Red Fort,Chandni Chowk,58.29,79
Hauz Khas,Rajiv Chowk,90.7,177
Connaught Place,Red Fort,99.13,125
Karol Bagh,Hauz Khas,29.52,100
Chandni Chowk,Nehru Place,69.68,164
Chandni Chowk,Karol Bagh,33.7,126
Nehru Place,Gurgaon,11.86,154
India Gate,Red Fort,78.25,139
Karol Bagh,Chandni Chowk,38.8,88
Rajiv Chowk,Delhi University,44.51,19
Connaught Place,Chandni Chowk,62.95,73
Gurgaon,Delhi University,84.79,73
Red Fort,Connaught Place,66.61,173
Karol Bagh,Red Fort,88.54,109
Hauz Khas,Delhi University,34.62,146
Gurgaon,Chandni Chowk,81.82,66
Gurgaon,Nehru Place,26.71,125
Nehru Place,Chandni Chowk,95.75,114
Red Fort,Karol Bagh,71.87,87
Gurgaon,Karol Bagh,29.4,54
Rajiv Chowk,India Gate,95.26,24
Red Fort,Rajiv Chowk,75.78,151
Delhi University,Connaught Place,32.85,68
Hauz Khas,Connaught Place,29.2,144
Delhi University,Karol Bagh,56.64,117
Nehru Place,Red Fort,12.31,82
Chandni Chowk,Delhi University,28.67,61
Connaught Place,Delhi University,48.22,24
Nehru Place,Rajiv Chowk,43.68,120
Delhi University,India Gate,51.72,38
Red Fort,Delhi University,34.99,167
Gurgaon,Red Fort,62.81,104
Connaught Place,India Gate,87.75,18
Gurgaon,Hauz Khas,20.58,117
Nehru Place,Delhi University,56.56,66
Nehru Place,Connaught Place,21.89,89
Hauz Khas,Red Fort,74.52,108
Delhi University,Gurgaon,45.65,47
India Gate,Karol Bagh,60.89,112
Connaught Place,Hauz Khas,26.5,111
Hauz Khas,Gurgaon,23.04,15
Delhi University,Chandni Chowk,53.93,152
Nehru Place,Karol Bagh,42.01,149
Karol Bagh,Delhi University,94.64,154
Hauz Khas,India Gate,78.88,169
Delhi University,Rajiv Chowk,77.38,86
Rajiv Chowk,Chandni Chowk,91.33,108
Gurgaon,Rajiv Chowk,17.51,74
India Gate,Rajiv Chowk,59.7,130
Red Fort,Gurgaon,62.6,67
Karol Bagh,Nehru Place,96.57,154
Nehru Place,India Gate,36.29,137
India Gate,Gurgaon,31.67,142
Connaught Place,Rajiv Chowk,19.03,110
Red Fort,Nehru Place,11.48,13
Chandni Chowk,Red Fort,93.66,143
Rajiv Chowk,Hauz Khas,70.29,60
Delhi University,Nehru Place,80.66,137
Red Fort,Hauz Khas,35.36,55
India Gate,Nehru Place,62.78,25
Chandni Chowk,Rajiv Chowk,15.76,127
Hauz Khas,Karol Bagh,53.71,101
Rajiv Chowk,Gurgaon,97.97,135
Chandni Chowk,India Gate,88.89,171
Rajiv Chowk,Connaught Place,40.43,21
Rajiv Chowk,Nehru Place,96.54,137
Gurgaon,Connaught Place,30.85,44
India Gate,Delhi University,95.44,23
Chandni Chowk,Gurgaon,94.72,145
Rajiv Chowk,Karol Bagh,81.93,162
Karol Bagh,India Gate,66.74,109
Red Fort,India Gate,88.69,92
Hauz Khas,Chandni Chowk,36.37,120
Hauz Khas,Nehru Place,86.4,50
Rajiv Chowk,Red Fort,65.61,75
Chandni Chowk,Hauz Khas,11.19,37
Chandni Chowk,Connaught Place,41.25,153
India Gate,Hauz Khas,23.33,153
Connaught Place,Nehru Place,98.36,51
Connaught Place,Gurgaon,53.05,16
Delhi University,Hauz Khas,54.77,136
Delhi University,Red Fort,67.55,66
India Gate,Chandni Chowk,43.17,144
Gurgaon,India Gate,22.32,88
Nehru Place,Hauz Khas,83.99,169
India Gate,Connaught Place,27.09,144
Karol Bagh,Rajiv Chowk,56.02,43
Karol Bagh,Connaught Place,30.19,137
Connaught Place,Karol Bagh,18.81,136
Karol Bagh,Gurgaon,87.6,56
Red Fort,Chandni Chowk,97.56,137
Hauz Khas,Rajiv Chowk,96.48,36
Connaught Place,Red Fort,91.59,61
Karol Bagh,Hauz Khas,79.66,170
Chandni Chowk,Nehru Place,39.98,56
Chandni Chowk,Karol Bagh,17.3,105
Nehru Place,Gurgaon,46.65,145
India Gate,Red Fort,30.9,49
Karol Bagh,Chandni Chowk,21.92,15
Rajiv Chowk,Delhi University,14.81,111
Connaught Place,Chandni Chowk,75.3,165
Gurgaon,Delhi University,11.03,176
Red Fort,Connaught Place,79.35,55
Karol Bagh,Red Fort,23.23,161
Hauz Khas,Delhi University,17.16,22
Gurgaon,Chandni Chowk,18.06,147
Gurgaon,Nehru Place,70.48,167
Nehru Place,Chandni Chowk,32.08,167
Red Fort,Karol Bagh,47.85,23
Gurgaon,Karol Bagh,60.16,97
Rajiv Chowk,India Gate,87.45,34
Red Fort,Rajiv Chowk,75.43,147
Delhi University,Connaught Place,34.33,78
Hauz Khas,Connaught Place,21.83,175
Delhi University,Karol Bagh,14.98,96
Nehru Place,Red Fort,37.14,162
Chandni Chowk,Delhi University,33.59,111
Connaught Place,Delhi University,51.05,114
Nehru Place,Rajiv Chowk,71.5,63
Delhi University,India Gate,72.61,108
Red Fort,Delhi University,35.52,171
Gurgaon,Red Fort,44.19,151
Connaught Place,India Gate,26.3,22
Gurgaon,Hauz Khas,80.97,39
Nehru Place,Delhi University,15.12,22
Nehru Place,Connaught Place,72.73,58
Hauz Khas,Red Fort,80.08,45
Delhi University,Gurgaon,79.97,44
India Gate,Karol Bagh,33.35,68
Connaught Place,Hauz Khas,43.64,139
Hauz Khas,Gurgaon,62.88,155
Delhi University,Chandni Chowk,34.55,19
Nehru Place,Karol Bagh,43.38,154
Karol Bagh,Delhi University,27.73,77
Hauz Khas,India Gate,51.39,179
Delhi University,Rajiv Chowk,14.02,57
Rajiv Chowk,Chandni Chowk,81.98,98
Gurgaon,Rajiv Chowk,16.93,68
India Gate,Rajiv Chowk,56.7,46
Red Fort,Gurgaon,37.61,22
Karol Bagh,Nehru Place,61.98,36
Nehru Place,India Gate,96.35,12
India Gate,Gurgaon,68.1,32
Connaught Place,Rajiv Chowk,13.18,56
Red Fort,Nehru Place,48.74,93
Chandni Chowk,Red Fort,55.9,28
Rajiv Chowk,Hauz Khas,58.26,44
Delhi University,Nehru Place,71.33,105
Red Fort,Hauz Khas,34.98,10
India Gate,Nehru Place,21.6,165
Chandni Chowk,Rajiv Chowk,45.34,58
Hauz Khas,Karol Bagh,96.08,141
Rajiv Chowk,Gurgaon,26.84,21
Chandni Chowk,India Gate,91.36,122
Rajiv Chowk,Connaught Place,58.94,166
Rajiv Chowk,Nehru Place,51.12,50
Gurgaon,Connaught Place,89.38,12
India Gate,Delhi University,51.27,69
Chandni Chowk,Gurgaon,75.18,20
Rajiv Chowk,Karol Bagh,45.91,142
Karol Bagh,India Gate,91.36,119
Red Fort,India Gate,72.1,137
Hauz Khas,Chandni Chowk,72.97,100
Hauz Khas,Nehru Place,39.49,117
Rajiv Chowk,Red Fort,78.11,18
Chandni Chowk,Hauz Khas,67.25,47
Chandni Chowk,Connaught Place,31.6,112
India Gate,Hauz Khas,24.45,101
Connaught Place,Nehru Place,81.68,29
Connaught Place,Gurgaon,96.32,45
Delhi University,Hauz Khas,51.23,174
Delhi University,Red Fort,63.19,134
India Gate,Chandni Chowk,87.2,84
Gurgaon,India Gate,51.15,59
Nehru Place,Hauz Khas,95.67,156
India Gate,Connaught Place,61.82,14
Karol Bagh,Rajiv Chowk,83.87,59
Karol Bagh,Connaught Place,91.8,23
Connaught Place,Karol Bagh,83.4,154
Karol Bagh,Gurgaon,24.35,114
Red Fort,Chandni Chowk,66.6,71
Hauz Khas,Rajiv Chowk,45.86,108
Connaught Place,Red Fort,15.64,27
Karol Bagh,Hauz Khas,48.16,34
Chandni Chowk,Nehru Place,33.28,103
Chandni Chowk,Karol Bagh,86.41,76
Nehru Place,Gurgaon,13.0,56
India Gate,Red Fort,96.31,178
Karol Bagh,Chandni Chowk,41.98,177
Rajiv Chowk,Delhi University,42.1,19
Connaught Place,Chandni Chowk,11.47,117
Gurgaon,Delhi University,26.67,36
Red Fort,Connaught Place,46.11,30
Karol Bagh,Red Fort,93.64,116
Hauz Khas,Delhi University,18.97,76
Gurgaon,Chandni Chowk,95.08,62
Gurgaon,Nehru Place,88.25,49
Nehru Place,Chandni Chowk,50.87,93
Red Fort,Karol Bagh,39.4,126
Gurgaon,Karol Bagh,30.95,145
Rajiv Chowk,India Gate,65.3,41
Red Fort,Rajiv Chowk,12.98,106
Delhi University,Connaught Place,11.4,165
Hauz Khas,Connaught Place,48.59,162
Delhi University,Karol Bagh,16.13,65
Nehru Place,Red Fort,32.67,146
Chandni Chowk,Delhi University,29.9,54
Connaught Place,Delhi University,32.79,63
Nehru Place,Rajiv Chowk,21.79,48
Delhi University,India Gate,11.08,165
Red Fort,Delhi University,20.39,53
Gurgaon,Red Fort,65.66,18
Connaught Place,India Gate,97.68,178
Gurgaon,Hauz Khas,99.13,130
Nehru Place,Delhi University,46.81,42
Nehru Place,Connaught Place,24.67,26
Hauz Khas,Red Fort,67.49,127
Delhi University,Gurgaon,54.13,85
India Gate,Karol Bagh,99.05,89
Connaught Place,Hauz Khas,15.88,61
Hauz Khas,Gurgaon,80.49,120
Delhi University,Chandni Chowk,35.96,174
Nehru Place,Karol Bagh,31.73,70
Karol Bagh,Delhi University,69.63,28
Hauz Khas,India Gate,32.15,163
Delhi University,Rajiv Chowk,69.93,50
Rajiv Chowk,Chandni Chowk,56.56,163
Gurgaon,Rajiv Chowk,48.17,14
India Gate,Rajiv Chowk,59.92,148
Red Fort,Gurgaon,35.83,107
Karol Bagh,Nehru Place,73.59,96
Nehru Place,India Gate,47.34,120
India Gate,Gurgaon,42.45,173
Connaught Place,Rajiv Chowk,84.58,94
Red Fort,Nehru Place,93.25,143
Chandni Chowk,Red Fort,14.14,68
Rajiv Chowk,Hauz Khas,30.94,109
Delhi University,Nehru Place,41.37,113
Red Fort,Hauz Khas,83.35,168
India Gate,Nehru Place,98.69,149
Chandni Chowk,Rajiv Chowk,97.21,18
Hauz Khas,Karol Bagh,91.45,131
Rajiv Chowk,Gurgaon,36.69,36
Chandni Chowk,India Gate,99.28,114
Rajiv Chowk,Connaught Place,32.45,105
Rajiv Chowk,Nehru Place,19.53,60
Gurgaon,Connaught Place,95.59,29
India Gate,Delhi University,31.01,41
Chandni Chowk,Gurgaon,72.08,47
Rajiv Chowk,Karol Bagh,15.25,149
Karol Bagh,India Gate,75.76,89
Red Fort,India Gate,89.35,63
Hauz Khas,Chandni Chowk,34.52,142
Hauz Khas,Nehru Place,44.12,155
Rajiv Chowk,Red Fort,43.69,35
Chandni Chowk,Hauz Khas,77.39,132
Chandni Chowk,Connaught Place,31.4,86
India Gate,Hauz Khas,25.47,10
Connaught Place,Nehru Place,50.44,106
Connaught Place,Gurgaon,37.4,179
Delhi University,Hauz Khas,85.53,114
Delhi University,Red Fort,31.4,93
India Gate,Chandni Chowk,55.22,133
Gurgaon,India Gate,94.83,109
Nehru Place,Hauz Khas,67.06,103
India Gate,Connaught Place,88.06,35
Karol Bagh,Rajiv Chowk,94.62,133
Karol Bagh,Connaught Place,77.57,82
Connaught Place,Karol Bagh,72.96,48
Karol Bagh,Gurgaon,97.12,60
Red Fort,Chandni Chowk,99.5,153
Hauz Khas,Rajiv Chowk,50.66,142
Connaught Place,Red Fort,16.38,36
Karol Bagh,Hauz Khas,36.35,85
Chandni Chowk,Nehru Place,23.71,36
Chandni Chowk,Karol Bagh,47.57,38
Nehru Place,Gurgaon,21.82,138
India Gate,Red Fort,64.37,79
Karol Bagh,Chandni Chowk,44.45,67
Rajiv Chowk,Delhi University,90.58,23
Connaught Place,Chandni Chowk,97.1,32
Gurgaon,Delhi University,59.22,71
Red Fort,Connaught Place,34.73,100
Karol Bagh,Red Fort,63.3,72
Hauz Khas,Delhi University,90.71,143
Gurgaon,Chandni Chowk,46.61,92
Gurgaon,Nehru Place,59.69,54
Nehru Place,Chandni Chowk,34.45,120
Red Fort,Karol Bagh,50.99,77
Gurgaon,Karol Bagh,46.15,33
Rajiv Chowk,India Gate,32.36,147
Red Fort,Rajiv Chowk,55.53,15
Delhi University,Connaught Place,37.93,43
Hauz Khas,Connaught Place,43.57,139
Delhi University,Karol Bagh,57.25,73
Nehru Place,Red Fort,77.55,94
Chandni Chowk,Delhi University,40.02,101
Connaught Place,Delhi University,93.17,41
Nehru Place,Rajiv Chowk,87.61,141
Delhi University,India Gate,14.38,94
Red Fort,Delhi University,32.83,148
Gurgaon,Red Fort,50.15,83
Connaught Place,India Gate,19.42,151
Gurgaon,Hauz Khas,41.36,70
Nehru Place,Delhi University,76.61,114
Nehru Place,Connaught Place,71.25,91
Hauz Khas,Red Fort,66.01,55
Delhi University,Gurgaon,73.95,163
India Gate,Karol Bagh,28.44,141
Connaught Place,Hauz Khas,40.75,24
Hauz Khas,Gurgaon,70.86,25
Delhi University,Chandni Chowk,89.13,15
Nehru Place,Karol Bagh,58.93,64
Karol Bagh,Delhi University,35.44,10
Hauz Khas,India Gate,12.72,91
Delhi University,Rajiv Chowk,73.93,42
Rajiv Chowk,Chandni Chowk,10.71,68
Gurgaon,Rajiv Chowk,43.54,39
India Gate,Rajiv Chowk,57.75,169
Red Fort,Gurgaon,92.99,169
Karol Bagh,Nehru Place,18.05,28
Nehru Place,India Gate,46.53,117
India Gate,Gurgaon,12.19,112
Connaught Place,Rajiv Chowk,40.83,81
Red Fort,Nehru Place,66.0,29
Chandni Chowk,Red Fort,35.12,79
Rajiv Chowk,Hauz Khas,28.88,139
Delhi University,Nehru Place,20.41,60
Red Fort,Hauz Khas,61.94,70
India Gate,Nehru Place,72.57,68
Chandni Chowk,Rajiv Chowk,70.48,126
Hauz Khas,Karol Bagh,95.4,156
Rajiv Chowk,Gurgaon,10.24,179
Chandni Chowk,India Gate,68.25,16
Rajiv Chowk,Connaught Place,64.04,170
Rajiv Chowk,Nehru Place,62.99,85
Gurgaon,Connaught Place,96.65,133
India Gate,Delhi University,11.52,34
Chandni Chowk,Gurgaon,72.68,60
Rajiv Chowk,Karol Bagh,83.23,146
Karol Bagh,India Gate,55.88,127
Red Fort,India Gate,40.06,93
Hauz Khas,Chandni Chowk,81.18,12
Hauz Khas,Nehru Place,18.75,38
Rajiv Chowk,Red Fort,49.78,48
Chandni Chowk,Hauz Khas,56.8,53
Chandni Chowk,Connaught Place,72.46,107
India Gate,Hauz Khas,18.18,126
Connaught Place,Nehru Place,30.5,23
Connaught Place,Gurgaon,46.93,55
Delhi University,Hauz Khas,66.1,43
Delhi University,Red Fort,89.83,20
India Gate,Chandni Chowk,65.69,125
Gurgaon,India Gate,22.01,97
Nehru Place,Hauz Khas,98.25,135
India Gate,Connaught Place,88.46,87
Karol Bagh,Rajiv Chowk,55.24,125
Karol Bagh,Connaught Place,93.01,40
Connaught Place,Karol Bagh,58.72,74
Karol Bagh,Gurgaon,93.1,117
Red Fort,Chandni Chowk,84.69,77
Hauz Khas,Rajiv Chowk,97.15,136
Connaught Place,Red Fort,92.78,120
Karol Bagh,Hauz Khas,13.24,138
Chandni Chowk,Nehru Place,25.73,105
Chandni Chowk,Karol Bagh,45.02,146
Nehru Place,Gurgaon,95.69,77
India Gate,Red Fort,37.0,21
Karol Bagh,Chandni Chowk,24.44,161
Rajiv Chowk,Delhi University,89.77,30
Connaught Place,Chandni Chowk,50.18,11
Gurgaon,Delhi University,91.71,78
Red Fort,Connaught Place,24.42,109
Karol Bagh,Red Fort,69.5,134
Hauz Khas,Delhi University,49.62,32
Gurgaon,Chandni Chowk,16.88,168
Gurgaon,Nehru Place,72.68,48
Nehru Place,Chandni Chowk,32.27,85
Red Fort,Karol Bagh,13.57,62
Gurgaon,Karol Bagh,15.39,108
Rajiv Chowk,India Gate,15.5,123
Red Fort,Rajiv Chowk,91.7,16
Delhi University,Connaught Place,76.59,43
Hauz Khas,Connaught Place,90.83,39
Delhi University,Karol Bagh,70.53,95
Nehru Place,Red Fort,57.6,24
Chandni Chowk,Delhi University,37.4,62
Connaught Place,Delhi University,99.82,96
Nehru Place,Rajiv Chowk,42.6,101
Delhi University,India Gate,52.36,123
Red Fort,Delhi University,44.04,104
Gurgaon,Red Fort,98.16,113
Connaught Place,India Gate,25.72,97
Gurgaon,Hauz Khas,39.52,34
Nehru Place,Delhi University,71.23,151
Nehru Place,Connaught Place,15.69,170
Hauz Khas,Red Fort,64.65,42
Delhi University,Gurgaon,52.99,128
India Gate,Karol Bagh,35.56,35
Connaught Place,Hauz Khas,31.46,83
Hauz Khas,Gurgaon,56.31,111
Delhi University,Chandni Chowk,43.11,118
Nehru Place,Karol Bagh,51.09,155
Karol Bagh,Delhi University,40.37,161
Hauz Khas,India Gate,97.34,45
Delhi University,Rajiv Chowk,22.01,131
Rajiv Chowk,Chandni Chowk,18.71,45
Gurgaon,Rajiv Chowk,40.91,172
India Gate,Rajiv Chowk,63.19,94
Red Fort,Gurgaon,69.33,30
Karol Bagh,Nehru Place,45.75,16
Nehru Place,India Gate,99.94,146
India Gate,Gurgaon,41.67,10
Connaught Place,Rajiv Chowk,74.93,71
Red Fort,Nehru Place,67.38,99
Chandni Chowk,Red Fort,83.17,112
Rajiv Chowk,Hauz Khas,97.86,81
Delhi University,Nehru Place,90.08,132
Red Fort,Hauz Khas,78.81,16
India Gate,Nehru Place,72.84,174
Chandni Chowk,Rajiv Chowk,40.19,167
Hauz Khas,Karol Bagh,23.29,113
Rajiv Chowk,Gurgaon,15.64,29
Chandni Chowk,India Gate,31.77,57
Rajiv Chowk,Connaught Place,48.91,160
Rajiv Chowk,Nehru Place,56.98,77
Gurgaon,Connaught Place,79.58,145
India Gate,Delhi University,96.29,66
Chandni Chowk,Gurgaon,20.56,103
Rajiv Chowk,Karol Bagh,19.63,82
Karol Bagh,India Gate,63.07,156
Red Fort,India Gate,77.09,160
Hauz Khas,Chandni Chowk,86.33,160
Hauz Khas,Nehru Place,94.22,56
Rajiv Chowk,Red Fort,98.51,49
Chandni Chowk,Hauz Khas,45.98,66
Chandni Chowk,Connaught Place,44.23,172
India Gate,Hauz Khas,23.3,70
Connaught Place,Nehru Place,71.64,108
Connaught Place,Gurgaon,69.11,151
Delhi University,Hauz Khas,87.59,38
Delhi University,Red Fort,18.75,69
India Gate,Chandni Chowk,54.8,23
Gurgaon,India Gate,62.3,171
Nehru Place,Hauz Khas,31.74,132
India Gate,Connaught Place,25.21,164
Karol Bagh,Rajiv Chowk,87.36,87
Karol Bagh,Connaught Place,15.27,135
Connaught Place,Karol Bagh,52.36,84
Karol Bagh,Gurgaon,20.43,97
Red Fort,Chandni Chowk,51.14,101
Hauz Khas,Rajiv Chowk,98.2,65
Connaught Place,Red Fort,48.13,95
Karol Bagh,Hauz Khas,87.14,101
Chandni Chowk,Nehru Place,20.56,33
Chandni Chowk,Karol Bagh,34.41,151
Nehru Place,Gurgaon,46.34,30
India Gate,Red Fort,45.98,45
Karol Bagh,Chandni Chowk,70.42,173
Rajiv Chowk,Delhi University,41.02,47
Connaught Place,Chandni Chowk,74.24,160
Gurgaon,Delhi University,67.53,171
Red Fort,Connaught Place,45.92,28
Karol Bagh,Red Fort,48.86,138
Hauz Khas,Delhi University,65.31,41
Gurgaon,Chandni Chowk,16.3,40
Gurgaon,Nehru Place,84.02,140
Nehru Place,Chandni Chowk,68.81,159
Red Fort,Karol Bagh,75.37,28
Gurgaon,Karol Bagh,58.32,90
Rajiv Chowk,India Gate,19.94,109
Red Fort,Rajiv Chowk,46.45,22
Delhi University,Connaught Place,46.48,82
Hauz Khas,Connaught Place,38.89,134
Delhi University,Karol Bagh,12.7,109
Nehru Place,Red Fort,76.35,147
Chandni Chowk,Delhi University,19.88,41
Connaught Place,Delhi University,64.57,59
Nehru Place,Rajiv Chowk,73.29,73
Delhi University,India Gate,67.13,117
Red Fort,Delhi University,96.32,57
Gurgaon,Red Fort,19.3,138
Connaught Place,India Gate,88.05,134
Gurgaon,Hauz Khas,12.63,64
Nehru Place,Delhi University,58.14,48
Nehru Place,Connaught Place,46.38,46
Hauz Khas,Red Fort,57.18,168
Delhi University,Gurgaon,42.86,43
India Gate,Karol Bagh,27.15,109
Connaught Place,Hauz Khas,11.72,115
Hauz Khas,Gurgaon,56.63,128
Delhi University,Chandni Chowk,85.85,136
Nehru Place,Karol Bagh,43.59,36
Karol Bagh,Delhi University,30.06,56
Hauz Khas,India Gate,17.25,28
Delhi University,Rajiv Chowk,17.68,98
Rajiv Chowk,Chandni Chowk,29.93,51
Gurgaon,Rajiv Chowk,19.0,29
India Gate,Rajiv Chowk,33.85,12
Red Fort,Gurgaon,15.95,52
Karol Bagh,Nehru Place,15.9,59
Nehru Place,India Gate,87.06,167
India Gate,Gurgaon,24.59,31
Connaught Place,Rajiv Chowk,60.37,128
Red Fort,Nehru Place,79.61,99
Chandni Chowk,Red Fort,51.08,88
Rajiv Chowk,Hauz Khas,23.8,131
Delhi University,Nehru Place,27.96,96
Red Fort,Hauz Khas,48.97,149
India Gate,Nehru Place,57.54,64
Chandni Chowk,Rajiv Chowk,41.45,34
Hauz Khas,Karol Bagh,80.33,79
Rajiv Chowk,Gurgaon,77.59,16
Chandni Chowk,India Gate,93.45,71
Rajiv Chowk,Connaught Place,12.61,51
Rajiv Chowk,Nehru Place,90.61,117
Gurgaon,Connaught Place,45.33,150
India Gate,Delhi University,89.05,150
Chandni Chowk,Gurgaon,72.17,55
Rajiv Chowk,Karol Bagh,98.86,47
Karol Bagh,India Gate,78.34,92
Red Fort,India Gate,42.81,63
Hauz Khas,Chandni Chowk,55.1,50
Hauz Khas,Nehru Place,43.88,146
Rajiv Chowk,Red Fort,42.84,10
Chandni Chowk,Hauz Khas,33.48,42
Chandni Chowk,Connaught Place,54.64,150
India Gate,Hauz Khas,71.36,30
Connaught Place,Nehru Place,34.96,124
Connaught Place,Gurgaon,57.19,25
Delhi University,Hauz Khas,20.56,33
Delhi University,Red Fort,24.39,64
India Gate,Chandni Chowk,14.21,118
Gurgaon,India Gate,97.37,97
