Date,Time,Bus Stop,Action,Number of Passengers
2024-09-01,10:10:00,Gurgaon,Deboarding,12
2024-09-01,10:15:00,Chandni Chowk,Boarding,17
2024-09-01,10:20:00,Nehru Place,Boarding,25
2024-09-01,10:25:00,Connaught Place,Boarding,5
2024-09-01,10:30:00,Karol Bagh,Deboarding,20
2024-09-01,10:35:00,India Gate,Deboarding,13
2024-09-01,10:40:00,Gurgaon,Deboarding,17
2024-09-01,10:45:00,Red Fort,Boarding,22
2024-09-01,10:50:00,India Gate,Deboarding,25
2024-09-01,10:55:00,Rajiv Chowk,Boarding,10
2024-09-01,11:00:00,Hauz Khas,Boarding,15
2024-09-01,11:05:00,Connaught Place,Deboarding,17
2024-09-01,11:10:00,Karol Bagh,Boarding,28
2024-09-01,11:15:00,Red Fort,Boarding,5
2024-09-01,11:20:00,Rajiv Chowk,Boarding,18
2024-09-01,11:25:00,Delhi University,Boarding,20
2024-09-01,11:30:00,Rajiv Chowk,Deboarding,1
2024-09-01,11:35:00,India Gate,Deboarding,29
2024-09-01,11:40:00,Red Fort,Boarding,2
2024-09-01,11:45:00,Chandni Chowk,Boarding,3
2024-09-01,11:50:00,Nehru Place,Boarding,25
2024-09-01,11:55:00,Delhi University,Boarding,5
2024-09-01,12:00:00,Nehru Place,Boarding,9
2024-09-01,12:05:00,Delhi University,Deboarding,7
2024-09-01,12:10:00,Delhi University,Boarding,23
2024-09-01,12:15:00,Red Fort,Deboarding,22
2024-09-01,12:20:00,Rajiv Chowk,Deboarding,29
2024-09-01,12:25:00,Delhi University,Deboarding,4
2024-09-01,12:30:00,Chandni Chowk,Boarding,3
2024-09-01,12:35:00,Rajiv Chowk,Boarding,19
2024-09-01,12:40:00,Delhi University,Boarding,19
2024-09-01,12:45:00,Chandni Chowk,Boarding,3
2024-09-01,12:50:00,Connaught Place,Boarding,3
2024-09-01,12:55:00,Connaught Place,Deboarding,3
2024-09-01,13:00:00,Delhi University,Boarding,9
2024-09-01,13:05:00,Nehru Place,Boarding,18
2024-09-01,13:10:00,Karol Bagh,Deboarding,8
2024-09-01,13:15:00,Nehru Place,Deboarding,7
2024-09-01,13:20:00,India Gate,Boarding,22
2024-09-01,13:25:00,Hauz Khas,Deboarding,14
2024-09-01,13:30:00,Hauz Khas,Deboarding,28
2024-09-01,13:35:00,Connaught Place,Boarding,2
2024-09-01,13:40:00,Hauz Khas,Deboarding,26
2024-09-01,13:45:00,India Gate,Boarding,7
2024-09-01,13:50:00,Chandni Chowk,Deboarding,5
2024-09-01,13:55:00,Hauz Khas,Boarding,9
2024-09-01,14:00:00,Nehru Place,Boarding,28
2024-09-01,14:05:00,India Gate,Deboarding,26
2024-09-01,14:10:00,Delhi University,Boarding,2
2024-09-01,14:15:00,Delhi University,Boarding,3
2024-09-01,14:20:00,Chandni Chowk,Boarding,14
2024-09-01,14:25:00,Nehru Place,Deboarding,7
2024-09-01,14:30:00,Hauz Khas,Boarding,6
2024-09-01,14:35:00,Hauz Khas,Boarding,13
2024-09-01,14:40:00,Red Fort,Deboarding,10
2024-09-01,14:45:00,Hauz Khas,Deboarding,5
2024-09-01,14:50:00,Chandni Chowk,Deboarding,7
2024-09-01,14:55:00,Connaught Place,Boarding,24
2024-09-01,15:00:00,Rajiv Chowk,Boarding,2
2024-09-01,15:05:00,Gurgaon,Deboarding,17
2024-09-01,15:10:00,Delhi University,Boarding,2
2024-09-01,15:15:00,Delhi University,Boarding,28
2024-09-01,15:20:00,Karol Bagh,Boarding,20
2024-09-01,15:25:00,India Gate,Boarding,13
2024-09-01,15:30:00,India Gate,Boarding,19
2024-09-01,15:35:00,Gurgaon,Boarding,20
2024-09-01,15:40:00,India Gate,Deboarding,22
2024-09-01,15:45:00,Gurgaon,Deboarding,30
2024-09-01,15:50:00,Red Fort,Boarding,22
2024-09-01,15:55:00,Rajiv Chowk,Boarding,9
2024-09-01,16:00:00,Hauz Khas,Boarding,22
2024-09-01,16:05:00,Red Fort,Deboarding,11
2024-09-01,16:10:00,India Gate,Boarding,15
2024-09-01,16:15:00,Gurgaon,Boarding,3
2024-09-01,16:20:00,Delhi University,Boarding,17
2024-09-01,16:25:00,Red Fort,Boarding,30
2024-09-01,16:30:00,Rajiv Chowk,Boarding,29
2024-09-01,16:35:00,Chandni Chowk,Deboarding,10
2024-09-01,16:40:00,Karol Bagh,Deboarding,27
2024-09-01,16:45:00,Delhi University,Deboarding,20
2024-09-01,16:50:00,Delhi University,Boarding,22
2024-09-01,16:55:00,Delhi University,Deboarding,30
2024-09-01,17:00:00,India Gate,Boarding,9
2024-09-01,17:05:00,India Gate,Boarding,24
2024-09-01,17:10:00,Delhi University,Boarding,9
2024-09-01,17:15:00,Red Fort,Boarding,23
2024-09-01,17:20:00,Rajiv Chowk,Boarding,22
2024-09-01,17:25:00,Red Fort,Deboarding,9
2024-09-01,17:30:00,Connaught Place,Boarding,21
2024-09-01,17:35:00,Hauz Khas,Deboarding,2
2024-09-01,17:40:00,Connaught Place,Deboarding,25
2024-09-01,17:45:00,Karol Bagh,Deboarding,6
2024-09-01,17:50:00,Nehru Place,Deboarding,18
2024-09-01,17:55:00,Connaught Place,Boarding,3
2024-09-01,18:00:00,Karol Bagh,Boarding,27
2024-09-01,18:05:00,Rajiv Chowk,Boarding,14
2024-09-01,18:10:00,Karol Bagh,Boarding,10
2024-09-01,18:15:00,Rajiv Chowk,Boarding,29
2024-09-01,18:20:00,Rajiv Chowk,Boarding,22
2024-09-01,18:25:00,Chandni Chowk,Boarding,12
2024-09-01,18:30:00,Delhi University,Deboarding,20
2024-09-01,18:35:00,Karol Bagh,Boarding,28
2024-09-01,18:40:00,Karol Bagh,Boarding,29
2024-09-01,18:45:00,Hauz Khas,Boarding,6
2024-09-01,18:50:00,Rajiv Chowk,Deboarding,26
2024-09-01,18:55:00,Chandni Chowk,Deboarding,6
2024-09-01,19:00:00,India Gate,Deboarding,28
2024-09-01,19:05:00,Connaught Place,Deboarding,8
2024-09-01,19:10:00,Chandni Chowk,Deboarding,12
2024-09-01,19:15:00,Red Fort,Boarding,8
2024-09-01,19:20:00,Connaught Place,Boarding,13
2024-09-01,19:25:00,Rajiv Chowk,Deboarding,28
2024-09-01,19:30:00,India Gate,Deboarding,12
2024-09-01,19:35:00,Delhi University,Deboarding,22
2024-09-01,19:40:00,Delhi University,Deboarding,1
2024-09-01,19:45:00,India Gate,Deboarding,6
2024-09-01,19:50:00,Gurgaon,Deboarding,2
2024-09-01,19:55:00,India Gate,Deboarding,12
2024-09-01,20:00:00,Rajiv Chowk,Deboarding,20
2024-09-01,20:05:00,Delhi University,Boarding,13
2024-09-01,20:10:00,Gurgaon,Boarding,9
2024-09-01,20:15:00,Connaught Place,Deboarding,1
2024-09-01,20:20:00,Delhi University,Boarding,12
2024-09-01,20:25:00,Hauz Khas,Boarding,22
2024-09-01,20:30:00,Rajiv Chowk,Deboarding,22
2024-09-01,20:35:00,India Gate,Deboarding,17
2024-09-01,20:40:00,Red Fort,Deboarding,11
2024-09-01,20:45:00,Hauz Khas,Deboarding,18
2024-09-01,20:50:00,Karol Bagh,Boarding,14
2024-09-01,20:55:00,Hauz Khas,Boarding,20
2024-09-01,21:00:00,Gurgaon,Deboarding,13
2024-09-01,21:05:00,Delhi University,Boarding,10
2024-09-01,21:10:00,Red Fort,Boarding,14
2024-09-01,21:15:00,Gurgaon,Deboarding,15
2024-09-01,21:20:00,Nehru Place,Deboarding,22
2024-09-01,21:25:00,Chandni Chowk,Deboarding,26
2024-09-01,21:30:00,Karol Bagh,Boarding,10
2024-09-01,21:35:00,Delhi University,Deboarding,3
2024-09-01,21:40:00,Chandni Chowk,Deboarding,8
2024-09-01,21:45:00,Chandni Chowk,Boarding,1
2024-09-01,21:50:00,Connaught Place,Boarding,16
2024-09-01,21:55:00,Gurgaon,Boarding,15
2024-09-01,22:00:00,Hauz Khas,Boarding,23
2024-09-01,22:05:00,Hauz Khas,Deboarding,13
2024-09-01,22:10:00,Chandni Chowk,Boarding,21
2024-09-01,22:15:00,Connaught Place,Boarding,25
2024-09-01,22:20:00,Hauz Khas,Boarding,6
2024-09-01,22:25:00,Delhi University,Deboarding,2
2024-09-01,22:30:00,Delhi University,Boarding,30
2024-09-01,22:35:00,India Gate,Deboarding,5
2024-09-01,22:40:00,Nehru Place,Deboarding,25
2024-09-01,22:45:00,Nehru Place,Deboarding,27
2024-09-01,22:50:00,Delhi University,Deboarding,29
2024-09-01,22:55:00,Karol Bagh,Deboarding,15
2024-09-01,23:00:00,Red Fort,Boarding,27
2024-09-01,23:05:00,Red Fort,Deboarding,21
2024-09-01,23:10:00,Chandni Chowk,Deboarding,15
2024-09-01,23:15:00,India Gate,Deboarding,8
2024-09-01,23:20:00,Red Fort,Deboarding,11
2024-09-01,23:25:00,Delhi University,Boarding,5
2024-09-01,23:30:00,Karol Bagh,Boarding,13
2024-09-01,23:35:00,Karol Bagh,Boarding,3
2024-09-01,23:40:00,Hauz Khas,Deboarding,11
2024-09-01,23:45:00,Delhi University,Deboarding,14
2024-09-01,23:50:00,Connaught Place,Boarding,27
2024-09-01,23:55:00,Hauz Khas,Deboarding,29
2024-09-02,00:00:00,Gurgaon,Boarding,28
2024-09-02,00:05:00,Gurgaon,Deboarding,16
2024-09-02,00:10:00,Connaught Place,Deboarding,10
2024-09-02,00:15:00,Hauz Khas,Deboarding,18
2024-09-02,00:20:00,Delhi University,Boarding,16
2024-09-02,00:25:00,Chandni Chowk,Deboarding,14
2024-09-02,00:30:00,Nehru Place,Boarding,13
2024-09-02,00:35:00,Rajiv Chowk,Deboarding,24
2024-09-02,00:40:00,Karol Bagh,Deboarding,30
2024-09-02,00:45:00,Karol Bagh,Boarding,30
2024-09-02,00:50:00,Hauz Khas,Boarding,3
2024-09-02,00:55:00,Hauz Khas,Boarding,28
2024-09-02,01:00:00,Nehru Place,Boarding,2
2024-09-02,01:05:00,Red Fort,Deboarding,11
2024-09-02,01:10:00,Chandni Chowk,Deboarding,11
2024-09-02,01:15:00,Rajiv Chowk,Deboarding,9
2024-09-02,01:20:00,Hauz Khas,Deboarding,27
2024-09-02,01:25:00,India Gate,Deboarding,1
2024-09-02,01:30:00,Delhi University,Boarding,12
2024-09-02,01:35:00,Chandni Chowk,Boarding,25
2024-09-02,01:40:00,Connaught Place,Boarding,8
2024-09-02,01:45:00,Chandni Chowk,Boarding,20
2024-09-02,01:50:00,Karol Bagh,Boarding,5
2024-09-02,01:55:00,Nehru Place,Boarding,19
2024-09-02,02:00:00,Chandni Chowk,Deboarding,23
2024-09-02,02:05:00,Red Fort,Deboarding,6
2024-09-02,02:10:00,Gurgaon,Boarding,25
2024-09-02,02:15:00,Karol Bagh,Deboarding,4
2024-09-02,02:20:00,Gurgaon,Boarding,30
2024-09-02,02:25:00,Red Fort,Deboarding,13
2024-09-02,02:30:00,Chandni Chowk,Boarding,19
2024-09-02,02:35:00,Chandni Chowk,Boarding,23
2024-09-02,02:40:00,Red Fort,Boarding,26
2024-09-02,02:45:00,Gurgaon,Boarding,12
2024-09-02,02:50:00,Delhi University,Deboarding,22
2024-09-02,02:55:00,Rajiv Chowk,Boarding,17
2024-09-02,03:00:00,Rajiv Chowk,Boarding,28
2024-09-02,03:05:00,Hauz Khas,Deboarding,4
2024-09-02,03:10:00,Hauz Khas,Deboarding,21
2024-09-02,03:15:00,Nehru Place,Boarding,14
2024-09-02,03:20:00,Karol Bagh,Deboarding,20
2024-09-02,03:25:00,Delhi University,Deboarding,15
2024-09-02,03:30:00,Hauz Khas,Deboarding,11
2024-09-02,03:35:00,Chandni Chowk,Boarding,9
2024-09-02,03:40:00,Nehru Place,Boarding,25
2024-09-02,03:45:00,Nehru Place,Deboarding,11
2024-09-02,03:50:00,Connaught Place,Deboarding,28
2024-09-02,03:55:00,Rajiv Chowk,Boarding,16
2024-09-02,04:00:00,Chandni Chowk,Deboarding,26
2024-09-02,04:05:00,Red Fort,Deboarding,9
2024-09-02,04:10:00,Gurgaon,Deboarding,18
2024-09-02,04:15:00,Connaught Place,Boarding,3
2024-09-02,04:20:00,Chandni Chowk,Deboarding,16
2024-09-02,04:25:00,Delhi University,Boarding,23
2024-09-02,04:30:00,Nehru Place,Deboarding,15
2024-09-02,04:35:00,Connaught Place,Boarding,10
2024-09-02,04:40:00,Chandni Chowk,Deboarding,23
2024-09-02,04:45:00,Chandni Chowk,Deboarding,22
2024-09-02,04:50:00,Gurgaon,Deboarding,16
2024-09-02,04:55:00,Delhi University,Deboarding,14
2024-09-02,05:00:00,Delhi University,Deboarding,12
2024-09-02,05:05:00,Nehru Place,Deboarding,10
2024-09-02,05:10:00,Red Fort,Boarding,4
2024-09-02,05:15:00,Chandni Chowk,Deboarding,4
2024-09-02,05:20:00,Delhi University,Boarding,7
2024-09-02,05:25:00,Chandni Chowk,Deboarding,9
2024-09-02,05:30:00,Gurgaon,Deboarding,4
2024-09-02,05:35:00,Chandni Chowk,Deboarding,8
2024-09-02,05:40:00,Rajiv Chowk,Boarding,10
2024-09-02,05:45:00,Connaught Place,Boarding,9
2024-09-02,05:50:00,Connaught Place,Boarding,18
2024-09-02,05:55:00,Red Fort,Boarding,21
2024-09-02,06:00:00,Nehru Place,Boarding,28
2024-09-02,06:05:00,Connaught Place,Deboarding,16
2024-09-02,06:10:00,Nehru Place,Deboarding,11
2024-09-02,06:15:00,Karol Bagh,Boarding,9
2024-09-02,06:20:00,Nehru Place,Boarding,27
2024-09-02,06:25:00,India Gate,Deboarding,16
2024-09-02,06:30:00,India Gate,Boarding,5
2024-09-02,06:35:00,Karol Bagh,Deboarding,3
2024-09-02,06:40:00,Chandni Chowk,Boarding,18
2024-09-02,06:45:00,Hauz Khas,Boarding,25
2024-09-02,06:50:00,Delhi University,Deboarding,15
2024-09-02,06:55:00,Nehru Place,Deboarding,28
2024-09-02,07:00:00,Gurgaon,Deboarding,10
2024-09-02,07:05:00,Gurgaon,Boarding,20
2024-09-02,07:10:00,India Gate,Boarding,21
2024-09-02,07:15:00,Chandni Chowk,Deboarding,22
2024-09-02,07:20:00,India Gate,Boarding,8
2024-09-02,07:25:00,Karol Bagh,Boarding,6
2024-09-02,07:30:00,Connaught Place,Deboarding,15
2024-09-02,07:35:00,Gurgaon,Deboarding,10
2024-09-02,07:40:00,Connaught Place,Boarding,10
2024-09-02,07:45:00,Red Fort,Deboarding,3
2024-09-02,07:50:00,Chandni Chowk,Deboarding,26
2024-09-02,07:55:00,Gurgaon,Boarding,14
2024-09-02,08:00:00,India Gate,Boarding,21
2024-09-02,08:05:00,Karol Bagh,Deboarding,27
2024-09-02,08:10:00,Karol Bagh,Boarding,2
2024-09-02,08:15:00,Karol Bagh,Deboarding,20
2024-09-02,08:20:00,Gurgaon,Deboarding,15
2024-09-02,08:25:00,India Gate,Deboarding,23
2024-09-02,08:30:00,Red Fort,Deboarding,9
2024-09-02,08:35:00,Delhi University,Deboarding,15
2024-09-02,08:40:00,India Gate,Boarding,29
2024-09-02,08:45:00,Hauz Khas,Deboarding,20
2024-09-02,08:50:00,Red Fort,Boarding,3
2024-09-02,08:55:00,Chandni Chowk,Boarding,25
2024-09-02,09:00:00,Red Fort,Boarding,25
2024-09-02,09:05:00,Karol Bagh,Deboarding,17
2024-09-02,09:10:00,Nehru Place,Deboarding,6
2024-09-02,09:15:00,Gurgaon,Deboarding,21
2024-09-02,09:20:00,Nehru Place,Boarding,16
2024-09-02,09:25:00,Rajiv Chowk,Deboarding,11
2024-09-02,09:30:00,Rajiv Chowk,Boarding,28
2024-09-02,09:35:00,Karol Bagh,Deboarding,14
2024-09-02,09:40:00,Nehru Place,Deboarding,22
2024-09-02,09:45:00,Hauz Khas,Boarding,15
2024-09-02,09:50:00,India Gate,Deboarding,9
2024-09-02,09:55:00,Rajiv Chowk,Boarding,25
2024-09-02,10:00:00,Hauz Khas,Boarding,22
2024-09-02,10:05:00,Delhi University,Deboarding,14
2024-09-02,10:10:00,Connaught Place,Boarding,17
2024-09-02,10:15:00,Rajiv Chowk,Deboarding,21
2024-09-02,10:20:00,Nehru Place,Boarding,7
2024-09-02,10:25:00,Red Fort,Boarding,30
2024-09-02,10:30:00,Red Fort,Deboarding,29
2024-09-02,10:35:00,Nehru Place,Boarding,1
2024-09-02,10:40:00,Gurgaon,Boarding,23
2024-09-02,10:45:00,Karol Bagh,Deboarding,18
2024-09-02,10:50:00,Connaught Place,Deboarding,3
2024-09-02,10:55:00,Chandni Chowk,Boarding,15
2024-09-02,11:00:00,India Gate,Boarding,16
2024-09-02,11:05:00,Red Fort,Deboarding,14
2024-09-02,11:10:00,Nehru Place,Deboarding,8
2024-09-02,11:15:00,Nehru Place,Boarding,13
2024-09-02,11:20:00,Chandni Chowk,Boarding,28
2024-09-02,11:25:00,India Gate,Deboarding,25
2024-09-02,11:30:00,Hauz Khas,Deboarding,30
2024-09-02,11:35:00,Delhi University,Deboarding,27
2024-09-02,11:40:00,Connaught Place,Deboarding,24
2024-09-02,11:45:00,Red Fort,Deboarding,28
2024-09-02,11:50:00,Karol Bagh,Deboarding,18
2024-09-02,11:55:00,Nehru Place,Deboarding,11
2024-09-02,12:00:00,Delhi University,Deboarding,15
2024-09-02,12:05:00,Rajiv Chowk,Boarding,23
2024-09-02,12:10:00,Chandni Chowk,Deboarding,8
2024-09-02,12:15:00,Hauz Khas,Boarding,11
2024-09-02,12:20:00,Nehru Place,Deboarding,13
2024-09-02,12:25:00,Karol Bagh,Deboarding,2
2024-09-02,12:30:00,Karol Bagh,Deboarding,28
2024-09-02,12:35:00,India Gate,Deboarding,4
2024-09-02,12:40:00,Delhi University,Deboarding,1
2024-09-02,12:45:00,Karol Bagh,Deboarding,28
2024-09-02,12:50:00,Karol Bagh,Boarding,16
2024-09-02,12:55:00,Red Fort,Deboarding,20
2024-09-02,13:00:00,Hauz Khas,Boarding,28
2024-09-02,13:05:00,Rajiv Chowk,Deboarding,11
2024-09-02,13:10:00,Nehru Place,Boarding,20
2024-09-02,13:15:00,India Gate,Boarding,21
2024-09-02,13:20:00,Red Fort,Boarding,24
2024-09-02,13:25:00,India Gate,Deboarding,4
2024-09-02,13:30:00,India Gate,Deboarding,6
2024-09-02,13:35:00,Red Fort,Boarding,2
2024-09-02,13:40:00,Rajiv Chowk,Boarding,10
2024-09-02,13:45:00,Rajiv Chowk,Deboarding,14
2024-09-02,13:50:00,Karol Bagh,Boarding,17
2024-09-02,13:55:00,Hauz Khas,Boarding,6
2024-09-02,14:00:00,Karol Bagh,Boarding,20
2024-09-02,14:05:00,Hauz Khas,Boarding,16
2024-09-02,14:10:00,Gurgaon,Boarding,8
2024-09-02,14:15:00,Nehru Place,Deboarding,15
2024-09-02,14:20:00,Red Fort,Boarding,29
2024-09-02,14:25:00,Nehru Place,Deboarding,22
2024-09-02,14:30:00,Delhi University,Boarding,3
2024-09-02,14:35:00,Nehru Place,Deboarding,19
2024-09-02,14:40:00,Red Fort,Deboarding,23
2024-09-02,14:45:00,Red Fort,Deboarding,28
2024-09-02,14:50:00,Red Fort,Boarding,13
2024-09-02,14:55:00,Nehru Place,Boarding,8
2024-09-02,15:00:00,Hauz Khas,Deboarding,19
2024-09-02,15:05:00,Red Fort,Deboarding,1
2024-09-02,15:10:00,Hauz Khas,Deboarding,1
2024-09-02,15:15:00,Gurgaon,Boarding,30
2024-09-02,15:20:00,Gurgaon,Deboarding,27
2024-09-02,15:25:00,Red Fort,Boarding,20
2024-09-02,15:30:00,Rajiv Chowk,Boarding,21
2024-09-02,15:35:00,Chandni Chowk,Deboarding,22
2024-09-02,15:40:00,Karol Bagh,Boarding,29
2024-09-02,15:45:00,Connaught Place,Deboarding,26
2024-09-02,15:50:00,Nehru Place,Boarding,19
2024-09-02,15:55:00,Rajiv Chowk,Boarding,3
2024-09-02,16:00:00,Red Fort,Deboarding,24
2024-09-02,16:05:00,Hauz Khas,Boarding,7
2024-09-02,16:10:00,Karol Bagh,Deboarding,17
2024-09-02,16:15:00,Delhi University,Deboarding,27
2024-09-02,16:20:00,Karol Bagh,Deboarding,30
2024-09-02,16:25:00,Nehru Place,Deboarding,24
2024-09-02,16:30:00,Rajiv Chowk,Boarding,15
2024-09-02,16:35:00,India Gate,Boarding,25
2024-09-02,16:40:00,Chandni Chowk,Deboarding,28
2024-09-02,16:45:00,Delhi University,Deboarding,3
2024-09-02,16:50:00,Hauz Khas,Boarding,9
2024-09-02,16:55:00,Delhi University,Boarding,15
2024-09-02,17:00:00,Rajiv Chowk,Deboarding,19
2024-09-02,17:05:00,Hauz Khas,Deboarding,4
2024-09-02,17:10:00,Chandni Chowk,Deboarding,1
2024-09-02,17:15:00,Gurgaon,Deboarding,30
2024-09-02,17:20:00,Gurgaon,Boarding,21
2024-09-02,17:25:00,India Gate,Deboarding,30
2024-09-02,17:30:00,Red Fort,Deboarding,4
2024-09-02,17:35:00,Karol Bagh,Boarding,2
2024-09-02,17:40:00,Red Fort,Deboarding,4
2024-09-02,17:45:00,India Gate,Boarding,29
2024-09-02,17:50:00,Delhi University,Boarding,13
2024-09-02,17:55:00,Nehru Place,Deboarding,22
2024-09-02,18:00:00,Delhi University,Deboarding,19
2024-09-02,18:05:00,Karol Bagh,Deboarding,21
2024-09-02,18:10:00,India Gate,Deboarding,20
2024-09-02,18:15:00,Hauz Khas,Deboarding,2
2024-09-02,18:20:00,Rajiv Chowk,Boarding,15
2024-09-02,18:25:00,Nehru Place,Boarding,28
2024-09-02,18:30:00,Rajiv Chowk,Boarding,22
2024-09-02,18:35:00,Rajiv Chowk,Deboarding,2
2024-09-02,18:40:00,Hauz Khas,Deboarding,7
2024-09-02,18:45:00,India Gate,Deboarding,3
2024-09-02,18:50:00,Chandni Chowk,Boarding,2
2024-09-02,18:55:00,Rajiv Chowk,Boarding,5
2024-09-02,19:00:00,Gurgaon,Boarding,3
2024-09-02,19:05:00,Delhi University,Boarding,19
2024-09-02,19:10:00,Chandni Chowk,Boarding,11
2024-09-02,19:15:00,Karol Bagh,Boarding,9
2024-09-02,19:20:00,Karol Bagh,Boarding,18
2024-09-02,19:25:00,Red Fort,Boarding,4
2024-09-02,19:30:00,Connaught Place,Boarding,1
2024-09-02,19:35:00,Rajiv Chowk,Boarding,19
2024-09-02,19:40:00,Rajiv Chowk,Boarding,6
2024-09-02,19:45:00,Red Fort,Boarding,5
2024-09-02,19:50:00,Hauz Khas,Boarding,24
2024-09-02,19:55:00,India Gate,Deboarding,15
2024-09-02,20:00:00,Rajiv Chowk,Boarding,15
2024-09-02,20:05:00,Delhi University,Boarding,20
2024-09-02,20:10:00,Connaught Place,Deboarding,15
2024-09-02,20:15:00,Connaught Place,Boarding,16
2024-09-02,20:20:00,Hauz Khas,Deboarding,22
2024-09-02,20:25:00,India Gate,Deboarding,23
2024-09-02,20:30:00,Nehru Place,Boarding,29
2024-09-02,20:35:00,India Gate,Deboarding,20
2024-09-02,20:40:00,Karol Bagh,Boarding,5
2024-09-02,20:45:00,Red Fort,Deboarding,13
2024-09-02,20:50:00,Gurgaon,Deboarding,15
2024-09-02,20:55:00,Delhi University,Deboarding,4
2024-09-02,21:00:00,India Gate,Boarding,14
2024-09-02,21:05:00,Nehru Place,Boarding,14
2024-09-02,21:10:00,Rajiv Chowk,Deboarding,13
2024-09-02,21:15:00,Hauz Khas,Boarding,11
2024-09-02,21:20:00,Hauz Khas,Deboarding,22
2024-09-02,21:25:00,Red Fort,Deboarding,5
2024-09-02,21:30:00,Nehru Place,Boarding,3
2024-09-02,21:35:00,India Gate,Boarding,14
2024-09-02,21:40:00,India Gate,Deboarding,26
2024-09-02,21:45:00,Karol Bagh,Boarding,19
2024-09-02,21:50:00,Delhi University,Deboarding,22
2024-09-02,21:55:00,India Gate,Deboarding,12
2024-09-02,22:00:00,Hauz Khas,Boarding,10
2024-09-02,22:05:00,Gurgaon,Deboarding,12
2024-09-02,22:10:00,India Gate,Boarding,5
2024-09-02,22:15:00,Nehru Place,Boarding,28
2024-09-02,22:20:00,India Gate,Deboarding,28
2024-09-02,22:25:00,Delhi University,Deboarding,4
2024-09-02,22:30:00,Red Fort,Boarding,26
2024-09-02,22:35:00,Hauz Khas,Boarding,20
2024-09-02,22:40:00,Red Fort,Boarding,6
2024-09-02,22:45:00,Red Fort,Deboarding,30
2024-09-02,22:50:00,Rajiv Chowk,Deboarding,1
2024-09-02,22:55:00,Karol Bagh,Boarding,19
2024-09-02,23:00:00,Hauz Khas,Boarding,5
2024-09-02,23:05:00,Connaught Place,Boarding,24
2024-09-02,23:10:00,Delhi University,Boarding,13
2024-09-02,23:15:00,Hauz Khas,Deboarding,11
2024-09-02,23:20:00,Karol Bagh,Deboarding,10
2024-09-02,23:25:00,Rajiv Chowk,Boarding,29
2024-09-02,23:30:00,Connaught Place,Boarding,6
2024-09-02,23:35:00,Gurgaon,Boarding,22
2024-09-02,23:40:00,India Gate,Deboarding,15
2024-09-02,23:45:00,Hauz Khas,Deboarding,20
2024-09-02,23:50:00,Nehru Place,Deboarding,9
2024-09-02,23:55:00,Chandni Chowk,Boarding,12
2024-09-03,00:00:00,Hauz Khas,Boarding,10
2024-09-03,00:05:00,Gurgaon,Deboarding,17
2024-09-03,00:10:00,Red Fort,Boarding,8
2024-09-03,00:15:00,Hauz Khas,Boarding,1
2024-09-03,00:20:00,Chandni Chowk,Deboarding,7
2024-09-03,00:25:00,Karol Bagh,Deboarding,10
2024-09-03,00:30:00,Rajiv Chowk,Boarding,1
2024-09-03,00:35:00,Nehru Place,Deboarding,6
2024-09-03,00:40:00,Karol Bagh,Deboarding,18
2024-09-03,00:45:00,Chandni Chowk,Deboarding,3
